Week Number,Job,Assembly,Assembly Description,Qty,Schedule_Group,Department Class,Department,OP_SEQ_NUM,OPERATION_DESCRIPTION,RESOURCE_OPERATIONS_SEQ,RESOURCE_CODE,DESCRIPTION,Usage,Qty Per Hour,Run Time Min,Run Time Hours,Operation Start Date,Operation Completion Date,Paint_Code,NVL(REQ.REQLIST;'NODEMANDFOUND'),SCHED_FLAG
21,3468515,909767,HALF STORAGE BOX ASSEMBLY BLACK (BULK PACK-30),2,VAC E SUBS WK 21-2021,SERVOCLEAN,SERVOLINE,120,ASSEMBLE BOX & APPLY LABEL - PACK STAGE 1,10,SERVOLINES,SERVOCLEAN ASSEMBLY AND PACK LINE,0.033333,30,4,0.07,24/05/2021 08:00,24/05/2021 08:04,,No Demand found,Next
21,3476460,913239,BLACK REINFORCED PVC HOSE 55MM LENGTH,3,CSS B13 WK 22-2021,CSS B13,WIRE CELL,110,BENCH FOR MANUAL OPERATIONS,30,WIREBENCH,BENCH FOR MANUAL OPERATIONS,0.005556,180,1,0.02,27/05/2021 08:00,27/05/2021 08:07,,No Demand found,Yes
40,3537449,598367,HZD.750-2.BLACK.V17.DAF.GREY NUMATIC LOGO.HEAD ONLY. UNPACKED.SPECIALISED,20,SPECIALS,VAC A,PREP-A1,110,VAC A METAL PREP BMH/LIDS,20,PREP-A1,VAC A METAL PREP BMH/LIDS,0.066667,15,80,1.33,06/10/2021 00:00,06/10/2021 08:51,,No Demand found,Next
40,3537449,598367,HZD.750-2.BLACK.V17.DAF.GREY NUMATIC LOGO.HEAD ONLY. UNPACKED.SPECIALISED,20,SPECIALS,VAC A,BUILD-A1,120,VAC A METAL BUILD STAGE 1,20,BUILD-A1,VAC A METAL BUILD STAGE 1,0.066667,15,80,1.33,06/10/2021 00:00,06/10/2021 08:51,,No Demand found,Next
40,3537449,598367,HZD.750-2.BLACK.V17.DAF.GREY NUMATIC LOGO.HEAD ONLY. UNPACKED.SPECIALISED,20,SPECIALS,VAC A,BUILD-A2,130,VAC A METAL BUILD STAGE 2,20,BUILD-A2,VAC A METAL BUILD STAGE 2,0.066667,15,80,1.33,06/10/2021 00:00,06/10/2021 08:51,,No Demand found,Next
40,3537449,598367,HZD.750-2.BLACK.V17.DAF.GREY NUMATIC LOGO.HEAD ONLY. UNPACKED.SPECIALISED,20,SPECIALS,VAC A,EOLT-A1,140,VAC A METAL END OF LINE TEST,20,EOLT-A1,VAC A METAL END OF LINE TEST,0.066667,15,80,1.33,06/10/2021 00:00,06/10/2021 08:51,,No Demand found,Next
40,3537449,598367,HZD.750-2.BLACK.V17.DAF.GREY NUMATIC LOGO.HEAD ONLY. UNPACKED.SPECIALISED,20,SPECIALS,VAC A,EOLT-A2,150,VAC A METAL END OF LINE TEST - SALT,20,EOLT-A2,VAC A METAL END OF LINE TEST - SALT,0.066667,15,80,1.33,06/10/2021 00:00,06/10/2021 08:51,,No Demand found,Next
40,3537449,598367,HZD.750-2.BLACK.V17.DAF.GREY NUMATIC LOGO.HEAD ONLY. UNPACKED.SPECIALISED,20,SPECIALS,VAC A,PACK-A1,160,VAC A METAL PACK,20,PACK-A1,VAC A METAL PACK,0.066667,15,80,1.33,06/10/2021 00:00,06/10/2021 08:51,,No Demand found,Next
9,3546990,909584,HZC FILTER CAP ASSEMBLY,180,SPECIALS,VAC A,VAPREPSUBS,110,VAC A PREP SUBS,20,VAPREPSUBS,VAC A PREP SUBS HANDLES/MOTORS,0.016667,60,180,3,01/03/2022 00:00,01/03/2022 10:46,,SPEC_MACH=180,Next
44,3560243,216089,32MM END CUFF BLACK ASSY  A SPARE PART,1100,Servo Auto WK 44-2021,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.008333,120,550,9.17,01/11/2021 08:00,02/11/2021 09:10,,No Demand found,Yes
45,3571296,900156,PPR.240-11.RED.BLACK.V30.KIT AS0(270).DAF.12.5M.NUMATIC,2,"12""PL WK 45-2021",VAC B,S1 REELERS,110,REELER ASSEMBLY STATION,20,REELER,REELER ASSEMBLY STATION,0.016667,60,2,0.03,08/11/2021 08:00,08/11/2021 08:03,,No Demand found,Next
45,3571296,900156,PPR.240-11.RED.BLACK.V30.KIT AS0(270).DAF.12.5M.NUMATIC,2,"12""PL WK 45-2021",VAC B,S2 DRUMTMH,120,DRUMS AND TMH ASSEMBLY STATION,20,DRUM TMH,DRUMS AND TMH ASSEMBLY STATION,0.016667,60,2,0.03,08/11/2021 08:00,08/11/2021 08:03,,No Demand found,Next
45,3571296,900156,PPR.240-11.RED.BLACK.V30.KIT AS0(270).DAF.12.5M.NUMATIC,2,"12""PL WK 45-2021",VAC B,S3 MOTORS,130,MOTOR ASSEMBLY STATION,20,MOTORS,MOTOR ASSEMBLY STATION,0.016667,60,2,0.03,08/11/2021 08:00,08/11/2021 08:03,,No Demand found,Next
45,3571296,900156,PPR.240-11.RED.BLACK.V30.KIT AS0(270).DAF.12.5M.NUMATIC,2,"12""PL WK 45-2021",VAC B,S4 LIDS,140,LID ASSEMBLY STATION,20,7 SCR LIDS,LID ASSEMBLY STATION,0.016667,60,2,0.03,08/11/2021 08:00,08/11/2021 08:03,,No Demand found,Next
45,3571296,900156,PPR.240-11.RED.BLACK.V30.KIT AS0(270).DAF.12.5M.NUMATIC,2,"12""PL WK 45-2021",VAC B,S5 TEST,150,TEST STATION REELER TYPE MACHINES,20,TEST,TEST STATION,0.016667,60,2,0.03,08/11/2021 08:00,08/11/2021 08:03,,No Demand found,Next
45,3571296,900156,PPR.240-11.RED.BLACK.V30.KIT AS0(270).DAF.12.5M.NUMATIC,2,"12""PL WK 45-2021",VAC B,S6 PACK1,160,PACKING STATION 1 REELER TYPE MACHINES 6 OPERATIVES,20,PACK1,PACKING STATION 1,0.016667,60,2,0.03,08/11/2021 08:00,08/11/2021 08:03,,No Demand found,Next
44,3572359,910506,HNL 230V DIAPHRAGM PUMP ASSEMBLY,75,CSS B13 WK 45-2021,CSS B13,WIRE CELL,110,BENCH FOR MANUAL OPERATIONS,30,WIREBENCH,BENCH FOR MANUAL OPERATIONS,0.008333,120,37.5,0.63,04/11/2021 08:00,04/11/2021 08:43,,No Demand found,Yes
49,3597284,902395,HVR.160-11.RED.BLACK.V16.KIT AS0.DAF.10M.HENRY160,1800,"12""PL WK 49-2021",VAC B,S1 REELERS,110,"11"" REELER ASSEMBLY STATION",10,REELER,REELER ASSEMBLY STATION,0.016667,60,1800,30,07/12/2021 08:00,08/12/2021 08:00,,SALES REP=0,Next
49,3597284,902395,HVR.160-11.RED.BLACK.V16.KIT AS0.DAF.10M.HENRY160,1800,"12""PL WK 49-2021",VAC B,S1 REELERS,120,"11"" REELER 2 ASSEMBLY STATION",20,REELER,REELER ASSEMBLY STATION,0.016667,60,1800,30,07/12/2021 08:00,08/12/2021 08:00,,SALES REP=0,Next
49,3597284,902395,HVR.160-11.RED.BLACK.V16.KIT AS0.DAF.10M.HENRY160,1800,"12""PL WK 49-2021",VAC B,S2 TMHASSY,130,"11"" TMH ASSEMBLY",10,"11""TMHASSY","11"" TMH ASSEMBLY STATION",0.008333,120,900,15,07/12/2021 08:00,08/12/2021 08:00,,SALES REP=0,Next
49,3597284,902395,HVR.160-11.RED.BLACK.V16.KIT AS0.DAF.10M.HENRY160,1800,"12""PL WK 49-2021",VAC B,S3 BMHASSY,140,"11"" BMH ASSEMBLY",10,"11""BMHASSY","11"" BMH ASSEMBLY STATION",0.008333,120,900,15,07/12/2021 08:00,08/12/2021 08:00,,SALES REP=0,Next
49,3597284,902395,HVR.160-11.RED.BLACK.V16.KIT AS0.DAF.10M.HENRY160,1800,"12""PL WK 49-2021",VAC B,S5 TEST,150,"11"" TEST STATION REELER TYPE MACHINES",10,TEST,TEST STATION,0.008333,120,900,15,07/12/2021 08:00,08/12/2021 08:00,,SALES REP=0,Next
49,3597284,902395,HVR.160-11.RED.BLACK.V16.KIT AS0.DAF.10M.HENRY160,1800,"12""PL WK 49-2021",VAC B,S6 PACK1,160,"11"" PACKING STATION 1 REELER TYPE MACHINES 5 OPERATIVES",10,PACK1,PACKING STATION 1,0.008333,120,900,15,07/12/2021 08:00,08/12/2021 08:00,,SALES REP=0,Next
49,3597284,902395,HVR.160-11.RED.BLACK.V16.KIT AS0.DAF.10M.HENRY160,1800,"12""PL WK 49-2021",VAC B,S7 PACK2,170,"11"" PACKING STATION 7 OPERATIVES",20,PACK2,PACKING STATION 2,0.008333,120,900,15,07/12/2021 08:00,08/12/2021 08:00,,SALES REP=0,Next
49,3597286,902395,HVR.160-11.RED.BLACK.V16.KIT AS0.DAF.10M.HENRY160,1800,"12""PL WK 49-2021",VAC B,S1 REELERS,110,"11"" REELER ASSEMBLY STATION",10,REELER,REELER ASSEMBLY STATION,0.016667,60,1800,30,09/12/2021 08:00,10/12/2021 08:00,,SALES REP=0,Next
49,3597286,902395,HVR.160-11.RED.BLACK.V16.KIT AS0.DAF.10M.HENRY160,1800,"12""PL WK 49-2021",VAC B,S1 REELERS,120,"11"" REELER 2 ASSEMBLY STATION",20,REELER,REELER ASSEMBLY STATION,0.016667,60,1800,30,09/12/2021 08:00,10/12/2021 08:00,,SALES REP=0,Next
